incident_id,call_date,call_time,response_time_minutes,incident_type,precinct,neighborhood,outcome,year
5001,8/2/2023,3:01:00 AM,49.00,Burglary,P4,NW,No Action,2023
5002,5/14/2022,11:44:00 AM,,Theft,P3,NE,Resolved,2022
5003,4/21/2023,8:51:00 AM,57.00,Traffic Stop,P1,NE,Arrest,2023
5004,11/20/2021,3:05:00 AM,8.00,Noise Complaint,P3,NW,Resolved,2021
5005,6/10/2020,2:02:00 AM,42.00,Burglary,P2,NE,Arrest,2020
5006,4/21/2021,3:24:00 AM,31.00,Domestic Disturbance,P2,NW,No Action,2021
5007,7/24/2023,5:34:00 AM,12.00,Burglary,P4,NE,Report Taken,2023
5008,10/26/2021,1:14:00 AM,4.00,Domestic Disturbance,P2,NE,Report Taken,2021
5009,10/19/2022,12:35:00 AM,60.00,Theft,P2,SE,No Action,2022
5010,3/28/2022,11:14:00 AM,,Domestic Disturbance,P1,SE,No Action,2022
5011,5/10/2020,12:24:00 PM,31.00,Noise Complaint,P1,NE,Arrest,2020
5012,8/5/2023,10:07:00 AM,12.00,Burglary,P2,NW,No Action,2023
5013,8/5/2020,8:19:00 PM,55.00,Domestic Disturbance,P4,NW,No Action,2020
5014,10/25/2021,10:05:00 AM,25.00,Noise Complaint,P3,NW,Arrest,2021
5015,12/26/2022,4:08:00 AM,44.00,Theft,P3,NE,No Action,2022
5016,11/13/2023,6:45:00 AM,27.00,Assault,P1,NE,Arrest,2023
5017,5/11/2020,11:03:00 AM,39.00,Domestic Disturbance,P1,NW,Arrest,2020
5018,11/7/2021,2:32:00 AM,44.00,Burglary,P3,NE,Arrest,2021
5019,8/26/2022,1:12:00 PM,44.00,Assault,P1,NW,Arrest,2022
5020,4/4/2022,8:08:00 AM,53.00,Assault,P1,NE,Resolved,2022
5021,5/26/2021,2:28:00 AM,,Theft,P1,NW,Arrest,2021
5022,4/29/2021,1:24:00 AM,15.00,Traffic Stop,P3,NE,Resolved,2021
5023,11/27/2023,4:03:00 AM,47.00,Theft,P4,NW,Report Taken,2023
5024,10/4/2021,1:03:00 AM,39.00,Noise Complaint,P1,NW,No Action,2021
5025,5/19/2020,9:55:00 PM,17.00,Theft,P1,SE,Report Taken,2020
5026,4/10/2023,6:33:00 PM,18.00,Domestic Disturbance,P2,SW,Resolved,2023
5027,5/28/2020,12:29:00 AM,,Traffic Stop,P1,SE,Arrest,2020
5028,5/15/2021,11:18:00 AM,30.00,Burglary,P4,NW,Report Taken,2021
5029,2/9/2023,2:47:00 AM,44.00,Theft,P1,NE,Resolved,2023
5030,5/23/2023,6:45:00 AM,15.00,Noise Complaint,P1,SE,Arrest,2023
5031,7/20/2021,1:00:00 AM,51.00,Theft,P3,NW,Arrest,2021
5032,6/3/2020,10:57:00 PM,36.00,Assault,P1,NW,Resolved,2020
5033,1/16/2022,9:56:00 AM,24.00,Assault,P1,NE,Arrest,2022
5034,11/28/2020,5:56:00 AM,3.00,Burglary,P2,NE,Arrest,2020
5035,12/7/2023,8:22:00 AM,56.00,Traffic Stop,P2,NE,Arrest,2023
5036,9/13/2023,6:25:00 AM,,Theft,P3,SE,Arrest,2023
5037,8/24/2020,8:11:00 AM,,Burglary,P2,SE,No Action,2020
5038,11/13/2022,3:24:00 AM,38.00,Noise Complaint,P4,NE,Resolved,2022
5039,6/2/2022,2:42:00 AM,23.00,Burglary,P2,NE,Report Taken,2022
5040,4/16/2022,10:25:00 AM,46.00,Assault,P1,NE,Resolved,2022
5041,1/27/2023,12:19:00 AM,15.00,Burglary,P2,SW,Arrest,2023
5042,12/13/2020,9:05:00 PM,34.00,Domestic Disturbance,P2,NE,Arrest,2020
5043,2/11/2021,4:01:00 AM,,Burglary,P2,SE,Resolved,2021
5044,3/29/2022,7:09:00 AM,,Burglary,P4,SW,Arrest,2022
5045,2/15/2023,7:58:00 AM,56.00,Theft,P2,SW,No Action,2023
5046,10/30/2022,1:53:00 PM,60.00,Assault,P2,NE,Arrest,2022
5047,7/29/2023,8:49:00 AM,51.00,Burglary,P2,NE,Resolved,2023
5048,11/18/2021,10:57:00 AM,36.00,Domestic Disturbance,P2,NW,Resolved,2021
5049,4/14/2022,10:34:00 AM,31.00,Theft,P1,SE,Resolved,2022
5050,1/13/2020,11:19:00 AM,56.00,Theft,P2,SW,Arrest,2020
5051,7/12/2021,8:58:00 AM,23.00,Domestic Disturbance,P4,NW,Resolved,2021
5052,4/27/2023,6:42:00 PM,43.00,Domestic Disturbance,P1,NE,Resolved,2023
5053,11/1/2021,6:29:00 AM,50.00,Assault,P2,NW,Resolved,2021
5054,2/9/2020,1:15:00 AM,,Domestic Disturbance,P1,NW,Arrest,2020
5055,9/15/2020,3:42:00 PM,15.00,Traffic Stop,P1,NW,Arrest,2020
5056,12/1/2020,9:06:00 AM,21.00,Domestic Disturbance,P1,NE,Arrest,2020
5057,11/28/2023,9:54:00 AM,,Traffic Stop,P4,SE,Report Taken,2023
5058,1/28/2022,6:40:00 AM,2.00,Assault,P1,SE,Arrest,2022
5059,12/4/2022,8:17:00 PM,60.00,Burglary,P2,SE,Arrest,2022
5060,5/17/2021,2:17:00 AM,17.00,Assault,P2,NW,Resolved,2021
5061,10/27/2021,5:31:00 AM,24.00,Theft,P2,NW,No Action,2021
5062,1/26/2021,2:15:00 AM,48.00,Burglary,P3,SW,Arrest,2021
5063,2/5/2020,2:18:00 AM,16.00,Traffic Stop,P3,SE,Resolved,2020
5064,2/1/2023,10:22:00 AM,31.00,Burglary,P2,SE,Arrest,2023
5065,1/2/2023,10:11:00 PM,49.00,Theft,P2,NW,Arrest,2023
5066,2/1/2021,9:14:00 AM,,Traffic Stop,P1,NW,No Action,2021
5067,8/21/2021,10:08:00 PM,50.00,Theft,P2,SW,Resolved,2021
5068,6/21/2022,10:11:00 AM,57.00,Assault,P3,NW,No Action,2022
5069,7/13/2023,9:03:00 PM,11.00,Noise Complaint,P4,SE,No Action,2023
5070,5/5/2023,7:14:00 PM,26.00,Theft,P3,NE,No Action,2023
5071,6/25/2023,1:39:00 AM,49.00,Burglary,P1,NW,Arrest,2023
5072,12/21/2020,5:04:00 PM,28.00,Traffic Stop,P1,NE,Resolved,2020
5073,12/18/2023,9:44:00 AM,57.00,Burglary,P2,SE,Arrest,2023
5074,1/20/2023,5:38:00 AM,11.00,Burglary,P2,SW,Arrest,2023
5075,8/17/2022,1:56:00 AM,19.00,Assault,P2,NE,Arrest,2022
5076,7/6/2020,7:43:00 AM,,Theft,P1,NW,Resolved,2020
5077,11/28/2022,8:28:00 PM,13.00,Noise Complaint,P3,SE,Resolved,2022
5078,11/13/2021,10:42:00 AM,56.00,Traffic Stop,P3,NW,Resolved,2021
5079,6/29/2020,10:16:00 AM,51.00,Noise Complaint,P4,SW,Resolved,2020
5080,4/21/2020,6:33:00 AM,50.00,Noise Complaint,P2,NE,No Action,2020
5081,9/25/2020,9:28:00 AM,,Theft,P2,NW,Resolved,2020
5082,2/2/2023,12:35:00 AM,,Burglary,P1,SW,Report Taken,2023
5083,8/20/2021,4:45:00 PM,55.00,Theft,P1,SE,Arrest,2021
5084,5/12/2023,4:47:00 PM,,Assault,P2,NE,Arrest,2023
5085,1/6/2020,9:46:00 AM,39.00,Assault,P2,SE,No Action,2020
5086,1/17/2023,12:29:00 PM,22.00,Assault,P1,SE,Report Taken,2023
5087,8/26/2022,10:58:00 PM,53.00,Domestic Disturbance,P4,SE,Arrest,2022
5088,7/24/2020,11:09:00 AM,,Noise Complaint,P3,NE,Resolved,2020
5089,6/30/2023,10:25:00 PM,7.00,Assault,P2,SW,Arrest,2023
5090,1/13/2023,1:39:00 AM,17.00,Assault,P1,NW,Resolved,2023
5091,12/6/2020,10:19:00 PM,3.00,Traffic Stop,P3,NW,Arrest,2020
5092,12/23/2022,7:39:00 AM,45.00,Burglary,P2,SW,No Action,2022
5093,10/20/2020,8:57:00 AM,18.00,Traffic Stop,P4,NW,Arrest,2020
5094,6/23/2022,11:37:00 AM,42.00,Domestic Disturbance,P3,SW,Arrest,2022
5095,4/30/2021,12:36:00 PM,38.00,Burglary,P3,NE,Arrest,2021
5096,3/5/2023,9:49:00 PM,60.00,Domestic Disturbance,P2,NE,Report Taken,2023
5097,1/24/2021,11:41:00 AM,45.00,Noise Complaint,P2,SW,Arrest,2021
5098,4/1/2023,11:46:00 AM,7.00,Domestic Disturbance,P2,NW,Arrest,2023
5099,1/9/2023,11:33:00 AM,34.00,Assault,P2,SE,Arrest,2023
5100,8/23/2020,2:04:00 PM,16.00,Assault,P1,NE,No Action,2020
5101,9/10/2020,2:23:00 PM,49.00,Burglary,P2,NW,Report Taken,2020
5102,4/23/2021,3:01:00 PM,58.00,Noise Complaint,P3,NE,Report Taken,2021
5103,4/16/2022,9:08:00 AM,21.00,Assault,P3,SE,Report Taken,2022
5104,11/27/2023,5:26:00 PM,39.00,Assault,P3,NE,Arrest,2023
5105,11/14/2023,11:13:00 AM,30.00,Traffic Stop,P4,SE,Arrest,2023
5106,3/26/2022,8:12:00 AM,54.00,Burglary,P1,NW,Arrest,2022
5107,11/14/2021,7:08:00 AM,,Domestic Disturbance,P2,SE,Arrest,2021
5108,10/29/2020,7:00:00 PM,19.00,Domestic Disturbance,P1,NW,Arrest,2020
5109,1/31/2020,1:08:00 AM,17.00,Burglary,P3,NW,Report Taken,2020
5110,5/10/2020,3:28:00 PM,,Theft,P1,NE,Resolved,2020
5111,8/10/2023,12:58:00 AM,27.00,Assault,P1,NW,Resolved,2023
5112,5/30/2023,4:04:00 AM,19.00,Theft,P2,SW,No Action,2023
5113,5/24/2023,1:06:00 PM,52.00,Domestic Disturbance,P3,SE,Arrest,2023
5114,7/17/2022,12:26:00 PM,22.00,Traffic Stop,P1,SW,Arrest,2022
5115,7/5/2020,2:05:00 AM,8.00,Theft,P4,SE,Report Taken,2020
5116,9/7/2020,5:38:00 AM,50.00,Traffic Stop,P2,NW,No Action,2020
5117,11/5/2022,6:09:00 AM,,Traffic Stop,P1,NE,No Action,2022
5118,4/8/2021,1:54:00 PM,,Burglary,P2,NW,Arrest,2021
5119,7/13/2021,3:36:00 AM,60.00,Burglary,P3,NW,Arrest,2021
5120,7/20/2023,12:05:00 AM,15.00,Domestic Disturbance,P2,NE,Report Taken,2023
5121,10/26/2021,6:38:00 PM,7.00,Noise Complaint,P1,NE,Resolved,2021
5122,9/17/2023,1:31:00 PM,30.00,Noise Complaint,P2,SE,Arrest,2023
5123,8/3/2021,9:43:00 PM,33.00,Theft,P1,NW,Arrest,2021
5124,9/9/2021,8:47:00 AM,50.00,Assault,P1,NW,Resolved,2021
5125,12/26/2022,10:14:00 PM,37.00,Burglary,P1,SE,Arrest,2022
5126,7/30/2022,2:55:00 AM,29.00,Traffic Stop,P1,SE,Arrest,2022
5127,10/27/2021,5:51:00 AM,31.00,Noise Complaint,P2,SE,No Action,2021
5128,3/31/2022,4:05:00 PM,57.00,Domestic Disturbance,P1,NW,No Action,2022
5129,11/10/2022,5:12:00 AM,51.00,Domestic Disturbance,P1,NW,Arrest,2022
5130,7/10/2023,3:29:00 PM,50.00,Theft,P2,SE,Arrest,2023
5131,6/19/2022,9:04:00 AM,42.00,Traffic Stop,P3,SW,Arrest,2022
5132,4/26/2020,11:53:00 AM,,Assault,P3,NW,Resolved,2020
5133,3/16/2023,8:12:00 PM,22.00,Traffic Stop,P1,NW,Arrest,2023
5134,5/22/2021,10:28:00 PM,30.00,Traffic Stop,P3,SE,Arrest,2021
5135,11/23/2021,9:38:00 PM,52.00,Theft,P3,NE,Resolved,2021
5136,9/6/2023,7:55:00 PM,11.00,Burglary,P3,NW,No Action,2023
5137,12/22/2023,2:19:00 AM,26.00,Burglary,P4,NW,Report Taken,2023
5138,10/5/2023,1:32:00 PM,3.00,Traffic Stop,P3,NE,Arrest,2023
5139,10/8/2020,4:04:00 AM,,Burglary,P4,NW,Report Taken,2020
5140,11/20/2021,7:08:00 PM,40.00,Theft,P1,SW,Arrest,2021
5141,4/21/2022,11:43:00 AM,17.00,Domestic Disturbance,P4,NE,Resolved,2022
5142,8/18/2022,6:23:00 AM,30.00,Theft,P4,SE,Arrest,2022
5143,2/12/2021,7:08:00 PM,5.00,Noise Complaint,P4,NW,Resolved,2021
5144,6/20/2020,4:52:00 AM,30.00,Assault,P2,NW,Resolved,2020
5145,4/19/2020,12:32:00 PM,,Traffic Stop,P1,SE,Arrest,2020
5146,10/26/2020,4:02:00 AM,55.00,Burglary,P3,SW,No Action,2020
5147,1/11/2020,2:01:00 AM,18.00,Theft,P4,SE,Arrest,2020
5148,8/13/2021,7:19:00 AM,17.00,Assault,P1,NW,Arrest,2021
5149,10/20/2022,7:00:00 AM,3.00,Theft,P2,NE,No Action,2022
5150,5/3/2022,5:42:00 AM,7.00,Theft,P4,NW,Resolved,2022
5151,8/20/2022,1:40:00 AM,,Traffic Stop,P2,NW,Arrest,2022
5152,4/6/2023,11:48:00 PM,10.00,Burglary,P1,SW,Report Taken,2023
5153,9/7/2022,8:11:00 PM,6.00,Noise Complaint,P2,NW,Resolved,2022
5154,9/27/2021,4:25:00 PM,36.00,Domestic Disturbance,P2,SE,Arrest,2021
5155,4/7/2020,8:21:00 PM,9.00,Burglary,P3,SE,Resolved,2020
5156,1/17/2021,3:44:00 PM,25.00,Noise Complaint,P3,NW,No Action,2021
5157,8/24/2021,10:06:00 AM,22.00,Burglary,P3,NW,Report Taken,2021
5158,6/28/2022,11:28:00 AM,48.00,Traffic Stop,P1,NW,Report Taken,2022
5159,7/29/2023,10:43:00 AM,34.00,Assault,P1,NW,Arrest,2023
5160,4/28/2021,8:23:00 AM,,Traffic Stop,P3,NW,No Action,2021
5161,10/8/2020,4:23:00 PM,22.00,Noise Complaint,P1,SW,No Action,2020
5162,3/3/2022,5:07:00 PM,18.00,Traffic Stop,P3,NE,Arrest,2022
5163,10/4/2020,2:28:00 AM,47.00,Traffic Stop,P2,NW,No Action,2020
5164,1/15/2023,9:57:00 AM,21.00,Noise Complaint,P2,NW,Arrest,2023
5165,10/8/2022,2:04:00 AM,25.00,Traffic Stop,P3,SW,No Action,2022
5166,4/21/2022,8:43:00 AM,6.00,Theft,P2,NW,Arrest,2022
5167,2/3/2023,8:37:00 PM,10.00,Noise Complaint,P1,NW,Resolved,2023
5168,12/3/2020,5:20:00 AM,16.00,Burglary,P4,NE,Arrest,2020
5169,7/4/2023,9:39:00 AM,36.00,Domestic Disturbance,P1,SE,Arrest,2023
5170,2/28/2023,1:52:00 AM,,Traffic Stop,P2,SE,No Action,2023
5171,8/1/2023,12:31:00 AM,42.00,Assault,P2,SE,Resolved,2023
5172,7/17/2022,2:44:00 AM,30.00,Traffic Stop,P1,SE,Arrest,2022
5173,10/15/2021,11:55:00 PM,27.00,Traffic Stop,P2,SW,Arrest,2021
5174,7/1/2021,2:15:00 PM,8.00,Assault,P2,NW,Arrest,2021
5175,11/1/2021,6:46:00 PM,22.00,Assault,P3,NE,Resolved,2021
5176,2/17/2020,2:25:00 AM,34.00,Noise Complaint,P2,SW,No Action,2020
5177,9/1/2023,5:46:00 AM,,Traffic Stop,P3,SE,Arrest,2023
5178,3/31/2022,1:36:00 AM,14.00,Assault,P4,NE,Arrest,2022
5179,6/30/2023,9:39:00 PM,8.00,Traffic Stop,P4,SE,Arrest,2023
5180,10/22/2020,12:21:00 AM,,Assault,P4,SW,Arrest,2020
5181,5/26/2023,4:08:00 PM,22.00,Burglary,P2,SE,No Action,2023
5182,11/9/2022,5:31:00 PM,21.00,Burglary,P1,SE,No Action,2022
5183,9/22/2021,11:55:00 PM,3.00,Theft,P2,NW,No Action,2021
5184,9/10/2022,5:33:00 AM,41.00,Domestic Disturbance,P1,NW,Arrest,2022
5185,2/8/2020,2:20:00 PM,28.00,Theft,P3,NW,Report Taken,2020
5186,10/9/2020,4:13:00 PM,44.00,Domestic Disturbance,P3,SE,No Action,2020
5187,12/26/2021,9:49:00 PM,48.00,Domestic Disturbance,P2,NE,Arrest,2021
5188,9/1/2021,9:45:00 AM,47.00,Theft,P2,NE,Arrest,2021
5189,3/20/2023,9:34:00 PM,59.00,Traffic Stop,P1,SE,Resolved,2023
5190,9/5/2023,8:47:00 AM,15.00,Domestic Disturbance,P1,NE,Arrest,2023
5191,4/13/2020,6:45:00 AM,35.00,Assault,P1,NW,Arrest,2020
5192,2/1/2023,5:26:00 AM,58.00,Traffic Stop,P2,NE,Report Taken,2023
5193,5/1/2020,2:41:00 AM,,Domestic Disturbance,P1,SE,Arrest,2020
5194,10/11/2022,5:59:00 AM,,Theft,P1,SE,Resolved,2022
5195,7/19/2022,8:34:00 PM,35.00,Domestic Disturbance,P1,SE,Arrest,2022
5196,7/28/2022,8:16:00 PM,13.00,Domestic Disturbance,P1,SE,Arrest,2022
5197,5/25/2022,4:20:00 PM,,Assault,P2,NE,Arrest,2022
5198,6/18/2021,12:15:00 PM,50.00,Theft,P1,NE,Report Taken,2021
5199,1/6/2022,11:32:00 AM,9.00,Burglary,P2,NW,Report Taken,2022
5200,8/27/2021,11:39:00 AM,10.00,Theft,P2,SE,Report Taken,2021